iter	Passed	Remaining
656	1787	933
657	1790	930
658	1792	927
659	1794	924
660	1799	922
661	1800	919
662	1802	916
663	1805	913
664	1807	910
665	1808	907
666	1813	905
667	1814	901
668	1816	898
669	1819	896
670	1821	893
671	1822	889
672	1825	886
673	1829	884
674	1831	881
675	1832	878
676	1834	875
677	1836	872
678	1837	868
679	1839	865
680	1840	862
681	1845	860
682	1846	857
683	1848	853
684	1850	850
685	1851	847
686	1853	844
687	1859	843
688	1860	839
689	1862	836
690	1864	833
691	1865	830
692	1867	827
693	1868	824
694	1872	821
695	1874	818
696	1876	815
697	1879	813
698	1881	810
699	1883	807
700	1887	805
701	1889	802
702	1891	799
703	1893	796
704	1895	793
705	1897	790
706	1899	787
707	1902	784
708	1904	781
709	1906	778
710	1908	775
711	1910	772
712	1912	769
713	1914	766
714	1915	763
715	1919	761
716	1920	758
717	1922	755
718	1926	752
719	1927	749
720	1929	746
721	1931	743
722	1932	740
723	1935	737
724	1937	734
725	1938	731
726	1940	728
727	1944	726
728	1946	723
729	1948	720
730	1951	718
731	1952	714
732	1954	711
733	1956	708
734	1960	706
735	1963	704
736	1965	701
737	1967	698
738	1968	695
739	1970	692
740	1971	689
741	1975	686
742	1978	684
743	1979	681
744	1981	678
745	1983	675
746	1985	672
747	1989	670
748	1990	667
749	1992	664
750	1993	661
751	1995	658
752	1997	655
753	1998	652
754	1999	648
755	2001	645
756	2005	643
757	2006	640
758	2008	637
759	2009	634
760	2011	631
761	2012	628
762	2013	625
763	2015	622
764	2016	619
765	2019	616
766	2020	613
767	2021	610
768	2023	607
769	2024	604
770	2026	601
771	2027	598
772	2028	595
773	2029	592
774	2032	590
775	2036	587
776	2037	584
777	2039	582
778	2041	579
779	2042	576
780	2044	573
781	2045	570
782	2049	568
783	2050	565
784	2051	562
785	2053	559
786	2054	556
787	2056	553
788	2057	550
789	2058	547
790	2059	544
791	2061	541
792	2064	538
793	2065	535
794	2066	532
795	2067	529
796	2069	527
797	2070	524
798	2072	521
799	2073	518
800	2074	515
801	2075	512
802	2078	510
803	2080	507
804	2081	504
805	2082	501
806	2084	498
807	2085	495
808	2086	492
809	2088	489
810	2089	486
811	2090	484
812	2093	481
813	2094	478
814	2096	475
815	2097	472
816	2099	470
817	2100	467
818	2101	464
819	2102	461
820	2104	458
821	2105	455
822	2108	453
823	2109	450
824	2110	447
825	2111	444
826	2113	442
827	2115	439
828	2117	436
829	2118	433
830	2121	431
831	2123	428
832	2125	426
833	2126	423
834	2128	420
835	2130	417
836	2131	415
837	2132	412
838	2133	409
839	2135	406
840	2137	404
841	2139	401
842	2140	398
843	2142	396
844	2143	393
845	2145	390
846	2146	387
847	2148	385
848	2150	382
849	2152	379
850	2153	377
851	2154	374
852	2156	371
853	2157	368
854	2159	366
855	2160	363
856	2161	360
857	2162	357
858	2164	355
859	2166	352
860	2168	350
861	2169	347
862	2171	344
863	2172	342
864	2174	339
865	2175	336
866	2176	333
867	2177	331
868	2179	328
869	2181	325
870	2182	323
871	2183	320
872	2185	317
873	2186	315
874	2187	312
875	2189	309
876	2190	307
877	2191	304
878	2195	302
879	2196	299
880	2198	296
881	2199	294
882	2201	291
883	2202	288
884	2203	286
885	2204	283
886	2206	281
887	2207	278
888	2210	276
889	2212	273
890	2213	270
891	2214	268
892	2216	265
893	2217	262
894	2218	260
895	2220	257
896	2221	255
897	2224	252
898	2225	250
899	2227	247
900	2228	244
901	2230	242
902	2232	239
903	2233	237
904	2235	234
905	2236	232
906	2239	229
907	2241	227
908	2242	224
909	2243	221
910	2245	219
911	2246	216
912	2247	214
913	2249	211
914	2250	209
915	2252	206
916	2255	204
917	2256	201
918	2257	198
919	2258	196
920	2260	193
921	2261	191
922	2262	188
923	2264	186
924	2265	183
925	2266	181
926	2269	178
927	2270	176
928	2272	173
929	2273	171
930	2275	168
931	2277	166
932	2279	163
933	2284	161
934	2287	158
935	2289	156
936	2292	154
937	2293	151
938	2296	149
939	2301	146
940	2302	144
941	2306	141
942	2307	139
943	2309	136
944	2311	134
945	2315	132
946	2317	129
947	2318	127
